Publisher,Headquarters,Est.,Notable games published,Notes,Active
RuneStorm,"Shanghai, China",2006,"Viscera Cleanup Detail, Rooks Keep, Viscera Cleanup Detail: Santa's Rampage",What sing ground.,1
PnagaeaVR,"London, UK",2016,Wipe Out VR,Life girl anyone organization character popular.,1
XSEED Games,"Montreal, Canada",1984,"Corpse Party: Blood Drive, Ys Origin, Ys: The Oath in Felghana, Ys I & II Chronicles+",,1
StuffByRabassa.com,"San Francisco, USA",1987,Seventh Angel,,1
Bigben Interactive,"Berlin, Germany",2000,"Blood Bowl: Death Zone, Bee Simulator, WRC 8 FIA World Rally Championship, OVERPASS™, Hotel: A Resort Simulator",Through two agency phone.,0
EGGTART,"Berlin, Germany",1988,Zombiflux: Sleepless War,,1
Digerati,Singapore,1997,"Severed Steel, Violet Cycle, Three Fourths Home: Extended Edition, Orborun, Reverse Crawl",,1
Hinterland Studio Inc.,"San Francisco, USA",1993,The Long Dark,,1
Beamdog,Singapore,1996,"Planescape: Torment: Enhanced Edition, Neverwinter Nights: Enhanced Edition, Axis & Allies 1942 Online, Icewind Dale: Enhanced Edition, Baldur's Gate: Enhanced Edition",So indicate worry land difficult movie.,0
二色幽紫蝶,"San Francisco, USA",2010,"TouHou Nil Soul, 东方妖精武踏会 - Touhou Fairy Knockout ~ One fairy to rule them all",Meet minute similar.,1
Analgesic Productions,"Shanghai, China",2004,"Anodyne 2: Return to Dust, All Our Asias, Anodyne 2: Return To Dust, Anodyne, Even the Ocean",,1
Dairymen,"New York, USA",1997,Orwell's Animal Farm,,1
The Drone Racing League,"Boston, USA",1992,"Drone Racing League®, The Drone Racing League Simulator",,1
Enodo Games,"Seoul, South Korea",2019,The Architect: Paris,,1
Play Systems,"London, UK",1988,Roko-Loko into Ratozinger's Castle,Serious four yes film.,1
Evan Lowery,"Stockholm, Sweden",2012,Night Rogue,,1
OriOpa Studio,"Melbourne, Australia",1983,Sudokolorful,,1
562 Interactive,"Seattle, USA",2009,Alluris,,1
Puppygames,"Toronto, Canada",2011,"Faerie Solitaire Dire, Droid Assault, Revenge of the Titans, Ultratron, Glitchangels",,1
Hidden Path Entertainment,"New York, USA",1993,Defense Grid: The Awakening,,1
Tbjbu2 Originals,"Seattle, USA",1982,"Advancity, Ricko's Island",Base remain if my.,1
Studio Wildcard,"Berlin, Germany",1987,"ARK: Survival Evolved, ARK: Survival Of The Fittest",Artist artist act toward sport maybe site.,1
Pujia8 Studio,"Tokyo, Japan",2004,"坦率的小红帽和爱说谎的狼, Zero One / 杀戮世界, 精神病大王花 Flowering Abyss, 冷血症骰子, 雾尽时分",And determine themselves fish support field five.,1
Krillbite Studio AS,"Melbourne, Australia",1989,Among the Sleep - Enhanced Edition,Industry test garden staff town seek.,1
Modern Wolf,"Amsterdam, Netherlands",2009,"Skeleton Crew, Kosmokrats, Necronator: Dead Wrong, ZERO Sievert, Witch Strandings",,1
PS Games,Singapore,1981,"RoboBall, RepairBot, Marble Run, Marble Run 2D, New Tanks",,1
Gales Corp.,"Toronto, Canada",1984,"Puzzle Fever, Caveman Hunt, VIrus Killer, Fun Quest, Shadow Сave",,1
PASTEL,"Paris, France",2008,"Underground Dungeon, Modo Defence",,1
Vincent,"Montreal, Canada",2005,Forest spiders,,1
Giant Army,"Shanghai, China",2007,"Universe Sandbox Legacy, Universe Sandbox",,1
Behaviour Interactive Inc.,"Seattle, USA",1994,"Knightfall: Rivals, Meet Your Maker, Hooked on You: A Dead by Daylight Dating Sim™, Warhammer 40,000: Eternal Crusade, Flippin Misfits",,1
Parley Games,"Amsterdam, Netherlands",1981,SOULBOUND,,1
Glumberland,"Boston, USA",1997,Ooblets,Tree garden environment nice here head.,0
Relow Digital,"New York, USA",2019,Relow,Dark way various reach author.,1
M2H,"Warsaw, Poland",2014,"Verdun, Marooners, Tannenberg, Crash Drive 2, Crash Drive 3",,1
Orangepixel,"San Francisco, USA",2006,"Gunslugs 2, Gunslugs, Heroes of Loot, Meganoid, Sir Questionnaire",,1
"Aspyr Media, Inc.","Tokyo, Japan",2016,"Layers of Fear: Masterpiece Edition, Next Up Hero",According teacher especially television attorney.,1
Mi'pu'mi Games,"Stockholm, Sweden",2001,"The Lion's Song, The Flower Collectors",,1
Endice Software,"Kyoto, Japan",1987,XOL,Site learn price risk collection.,1
VEWO Interactive Inc.,"Stockholm, Sweden",2019,Nexomon,,0
Iubisoft System SRL,"San Francisco, USA",2017,Cave to Kingdom,,1
Samu,"Warsaw, Poland",1985,"Soulscape, Mothlight, Orogenesis",,1
Xform,"Toronto, Canada",2006,"Burnin' Rubber 5 HD, Super Man Or Monster",,1
Frozen District,"Amsterdam, Netherlands",2009,"The Tenants, House Flipper",,1
Good Shepherd Entertainment,"Warsaw, Poland",1984,"Hard West 2, Zombie Night Terror, Diluvion: Resubmerged, Oh...Sir!! The Insult Simulator, Pathologic Classic HD",,0
Afterthought Studios,"Seattle, USA",2015,"Who Is Mike - A Visual Novel, CUPID - A free to play Visual Novel, Forgotten, Not Lost - A Kinetic Novel, On Earth As It Is In Heaven - A Kinetic Novel, It Comes Around - A Kinetic Novel",,1
Playdead,"Boston, USA",2001,"INSIDE, Limbo, LIMBO",Cost capital present.,1
Real time Operating,"Tokyo, Japan",1992,Rush Red & Blue,,1
NINEHECTARE,"Shanghai, China",1997,Grey Haven,Scene single dog child.,1
E-Line Media,"Kyoto, Japan",1993,"Never Alone (Kisima Ingitchuna), Beyond Blue",,0
Paradox Interactive,"Berlin, Germany",1996,"Europa Universalis III Complete, Surviving Mars, Crusaders: Thy Kingdom Come, Age of Wonders: Planetfall, Crusader Kings III",Throughout simple worker identify answer box actually.,1
Clockwork Origins,"Kyoto, Japan",1992,"CyberTD, Elemental War - A Tower Defense Game, Tri6: Infinite, Elemental War 2",,1
MY.GAMES,"Gurugram, India",2014,"Skyforge, Conqueror's Blade, Global City, Allods Online RU, Blast Brigade vs. the Evil Legion of Dr. Cread",,1
Giant Mobile,Singapore,1992,Pascal's Wager: Definitive Edition,Management weight crime town bill.,1
Aeternum Game Studios,"Shanghai, China",2001,Aeterna Noctis,,1
Keith Burgun Games,"Boston, USA",2004,"Escape the Omnochronom!, Gem Wizards Tactics",,1
"Edmund McMillen, Tyler Glaiel",Singapore,2001,The End is Nigh,Recently beat for sign green price.,1
GrabTheGames,"Stockholm, Sweden",1999,"Winexy, Garbage, Space Pilgrim Academy: Year 3, Exoplanet: First Contact, Death Fungeon",,1
11 bit studios,"Kyoto, Japan",1981,"Anomaly: Warzone Earth, Anomaly Korea, South of the Circle, Moonlighter, This War of Mine",,1
2K,"Warsaw, Poland",2002,"NBA 2K16, Army Men: Toys in Space, Sid Meier’s Civilization® VI, Duke Nukem Forever, BioShock™",,1
Annapurna Interactive,"Paris, France",2007,"The Pathless, Stray, Sayonara Wild Hearts, Solar Ash, Telling Lies",,1
Kongregate,"Kyoto, Japan",2004,"Super Fancy Pants Adventure, Realm Grinder, Spellstone, Hell is other demons, The Trail: Frontier Challenge",Goal use writer feeling.,1
Arrayansoft,"Seoul, South Korea",2005,Chishiki Runner,,1
Fluid Control Games,"Toronto, Canada",1993,Old Boy,Director black try month reflect.,1
Justin sawchuk,"Warsaw, Poland",2012,Archery Arena,,1
Statson,"Stockholm, Sweden",1997,Vulgaria,Much type room threat produce generation state very.,1
The Game Bakers,"Montreal, Canada",2013,"Squids Odyssey, Furi Demake - The Chain, Furi, Haven",Mother name value inside little author somebody include.,1
Skystone Games Inc.,"Melbourne, Australia",1991,"The Last Friend: First Bite, Spacelines from the Far Out: Flight School, The Last Friend, Spacelines from the Far Out, HELLCARD: Prologue",,1
Cronostase,"Shanghai, China",2016,"Puzzle Light: Rotate, Lighton: Duo, Puzzle Light: One Move, Pocket Puzzle, Lighton",,1
BT Studios,"Berlin, Germany",2003,"Lost In Dungeon, Deceased, Fallen, Deadly Traps, Dead No-Head",,1
Kimi Karri,"Boston, USA",1988,"Noitapeli, Grind: Skateboarding, Property, Frogs also struggle, PlatBall",,1
pao,"Paris, France",2001,pao,Manage firm environmental stand several.,1
Cannibal Interactive,"Amsterdam, Netherlands",2016,"It's Six Random Characters and a Single Floor Dungeon, That's the Whole Game, Damien Crawford's Golf Experience 2022, I Have Low Stats But My Class Is Leader, So I Recruited Everyone I Know To Fight The Dark Lord, There May Be Ninety-Nine Of Us, But We Have To Win In Ninety-Nine Turns!, Legend of Moros",,1
TimeTravel_1,Singapore,2007,Moe: The Boundary of Reality,,1
Concrete Games,"Toronto, Canada",2008,"Grotoro, Public Enemy: Revolution Simulator, Hyperun, Matter",,1
Motivation Game Studio,"Seattle, USA",2005,Blixten Quest,,1
Subspace Studios,"Shanghai, China",2015,Corrupted,Gas poor happen.,0
iRacing,"Seoul, South Korea",1994,iRacing - 3-month new membership,,1
United Independent Entertainment,"Shanghai, China",2013,"Firefighters - Airport Heroes, Them - The Summoning, Agricultural Simulator: Historical Farming, Rail Cargo Simulator, Doctor Watson - The Riddle of the Catacombs",Rich can morning answer with.,1
PlayWay S.A.,"Seoul, South Korea",1985,"American Theft 80s, SimRail - The Railway Simulator: Prologue, Hacker Simulator: Free Trial, Gunsmith Simulator: Prologue, Car Mechanic Simulator 2021",,1
Glass Cargo Software,"San Francisco, USA",2011,Claw Staff,,1
htaidisgust,Singapore,1994,"Hentai Devil, Hentai Miko, Hentai Beach, Hentai Neko, Hentai Pool",,1
Blockcode Games,"Tokyo, Japan",1998,"DreamCell: Lost in Nightmares, Shards of Nogard",,1
Bear in the Night,"Los Angeles, USA",2006,"Lust Element - Season 1, Sweet F. Cake, Lust Academy - Season 2, Lust Academy - Season 1",,1
LTZinc,"Toronto, Canada",2008,"Girls Love Toys, Hot Hentai, Sex with Maids, Battle Cube, Time of Piracy",,1
JAST USA,"London, UK",2014,"Majikoi! Love Me Seriously!, Littlewitch Romanesque: Editio Regia, Flowers -Le volume sur printemps-, Sonicomi, Togainu no Chi ~Lost Blood~",,1
Koch Media GmbH,"Toronto, Canada",2001,Clid The Snail,,1
Secret Overground Lab,"Warsaw, Poland",1990,Access,,1
Merge Games,"London, UK",2014,"VR Ping Pong Pro, FORECLOSED, HoPiKo, Spirit of the North, Time on Frog Island - Prologue",,1
Not a Sailor Studios,"Kyoto, Japan",2010,Buddy Simulator 1984,,1
futurelovegame,Singapore,1994,机忆,Should information them question push today.,1
수석 재단사,"Stockholm, Sweden",2018,Cat Town,,1
AjSpeed,"Seattle, USA",2016,LAETUS.,Challenge hear similar pattern politics.,1
Nicalis Inc.,"London, UK",1995,The Binding of Isaac: Repentance,,1
Unknown Worlds Entertainment,"Boston, USA",2005,"Subnautica: Below Zero, Natural Selection 2, Zen of Sudoku, NS2: Combat, Subnautica Below Zero",,1
FM Simple Games Studio,"Kyoto, Japan",1994,"Dick Ranger, Mage Ball",,1
Funcom,"Kyoto, Japan",2001,"Moons of Madness, Mutant Year Zero: Road to Eden, Secret World Legends, Dreamfall: The Longest Journey, Anarchy Online",,1
Shoe&CO,"Berlin, Germany",1999,Wacky Wizarding Dungeon,,1
My Way Games,"Berlin, Germany",2015,"Miniballist, AVA: Dark History, ABSURDIKA, Neon, Akapulka - The Rainbow",,1
Gun Media,"Warsaw, Poland",2008,"Friday the 13th: The Game, Layers of Fear 2",,1
430Games,"Boston, USA",1993,"Naive Riri, AZUR BEAM, LOLLIPOP: SUMMER!, DANGO!, LOLLIPOP!",Range for speak line follow play bank.,1
potentknight,"Montreal, Canada",1986,The Game of Annie 安妮的游戏,,1
Vishwakarma studios,"Toronto, Canada",2012,"Air Dash, Survivalizm - The Animal Simulator",Part interview ask later hard.,1
NCSOFT,"Shanghai, China",2008,"Guild Wars® Game of the Year Edition, FUSER™, Guild Wars® Trilogy, WildStar, Guild Wars Nightfall®",,1
Isaac Andrews,"Warsaw, Poland",1989,"TANKBOX, Duline, Magnet Block",Act fill likely former mission certain service simply.,1
K5 Factory GmbH,"Montreal, Canada",1983,Labyrinth deLux - A Crusoe Quest,,1
Unfold Games,Singapore,2010,DARQ: Complete Edition,,1
Dreamteck,"Boston, USA",2012,Lifeslide,,1
Digital Extremes,"Tokyo, Japan",2010,"Survived By, Wayfinder, Warframe",,1
DSGame,"Seattle, USA",1999,"Seek Girl Ⅶ, Lovelorn sanatorium Ⅲ, Rebirth:Mr Wang, Valhalla：Awakening of Valkyrie, To Be or Not to Be",,1
Wouter van Oortmerssen,"San Francisco, USA",2000,Avoid The Monsters,,0
Bedtime Digital Games,"Warsaw, Poland",1990,"The Forest Quartet, Figment 2: Creed Valley - Prologue, Chronology, Figment, Back to Bed",,1
Mad Vulture Games,"San Francisco, USA",2010,"Wasps!, Raging Titan",Share hear own understand party.,1
Game Cooks,"Stockholm, Sweden",1994,"Avo Escape Space, Highway Madness, ZOLO - Zombies Only Live Once, VINDICTA, VINDICTA Arcade",Field school conference.,1
NExT Studios,"Stockholm, Sweden",2010,Death Coming,Left ago social drug last class.,1
Kitfox Games,"New York, USA",1993,"Dwarf Fortress, Lucifer Within Us, Pupperazzi, Fit For a King, Six Ages 2: Lights Going Out",,1
Blender Games,"Seoul, South Korea",2009,"GraFi Halloween, Choco Pixel X, BAFF F, Chocolate makes you happy 3, aMAZE Classic",,1
SimppleGames,"Stockholm, Sweden",1996,"Origin of Decay, Sim 4K VR MediaPlayer",,0
Mastiff,"Toronto, Canada",2014,"Faerie Afterlight, Reload, Heavy Fire: Afghanistan, Tinytopia, Heavy Fire: Shattered Spear",,1
Interplay Inc.,"London, UK",1987,"MDK 2, Tommy Tronic, MDK2 HD, Descent: FreeSpace – The Great War, Sacrifice",Line little policy may political woman soon at.,1
KEMCO,"Berlin, Germany",2001,"Overrogue, Dragon Lapis, Antiquia Lost, Wizards of Brandel, Justice Chronicles",,1
Henteko Doujin,"Kyoto, Japan",2010,"GIGANTIC ARMY, ALLTYNEX Second, GRAND CROSS: ReNOVATION, ROCKETRON, Graze Counter",Reduce air voice enough recently.,1
WhisperGames,"Shanghai, China",1986,"tERRORbane, October Night Games, The Shadow You, tERRORbane: an INTRODUCTION, mostly, Quest of Wizard",,1
Kakao Games Europe B.V.,"Gurugram, India",2015,"Black Desert Online - Traveler's Package, Black Desert Online - Explorer's Package, ELYON, ArcheAge: Unchained, ArcheAge",,1
Choice of Games,"San Francisco, USA",1992,"Mecha Ace, Mask of the Plague Doctor, Hollywood Visionary, Nikola Tesla: War of the Currents, Choice of Magics",,1
GRüN STUDIO,"Tokyo, Japan",1999,Green Elephant: Epilogue,,1
"KOEI TECMO GAMES CO., LTD.","Gurugram, India",2014,"Sangokushi Eiketsuden, Romance of the Three Kingdoms VII with Power Up Kit, Attack on Titan / A.O.T. Wings of Freedom, Atelier Ryza 3: Alchemist of the End & the Secret Key, BERSERK and the Band of the Hawk",,1
Sankurusu,"London, UK",1995,The Castle,,1
Subaltern Games,"San Francisco, USA",1999,No Pineapple Left Behind,,1
Santa Ragione srl,"Seoul, South Korea",2016,Wheels of Aurelia,,1
SNK CORPORATION,"Shanghai, China",1998,"SAMURAI SHODOWN V SPECIAL / サムライスピリッツ零スペシャル, METAL SLUG 3, THE KING OF FIGHTERS '97 GLOBAL MATCH, BASEBALL STARS 2, SAMURAI SHODOWN NEOGEO COLLECTION",Forget decision speech story particular.,1
Goblinz Studio,"Berlin, Germany",1997,As Far As The Eye,High return card.,1
Awaken Realms,"San Francisco, USA",1983,"Fresh Start Cleaning Simulator, Nemesis: Distress, Pan'orama: Prologue, Tainted Grail: The Fall of Avalon, Nemesis: Lockdown",,1
The Quantum Astrophysicists Guild,"Paris, France",2006,"Space Otter Charlie, The Ambassador: Fractured Timelines, Freshly Frosted, Breakpoint, KUR",Pick realize between police.,1
Akie Asami,"Seattle, USA",1981,Ａクラス,,1
ZeroneGames,"Seattle, USA",1998,Dungeon Redemption,Character indicate general there money let require.,1
DeXP,Singapore,1988,"Simple Video Merger, Winter Novel, Wordlase",Particularly her attack Congress individual cold within.,1
90% Studios,"Amsterdam, Netherlands",2007,"Purrfect Apawcalypse: Love at Furst Bite, Cool Kid Cody, Purrfect Apawcalypse: Purrgatory Furever, Purrfect Apawcalypse: Patches' Infurno",,1
Digital Continue,"Gurugram, India",2018,"SuperMash, JumpStream",,1
34BigThings,Singapore,1982,"Gomorrah, Redout: Space Assault, Redout: Solar Challenge Edition",Black start middle military any approach economy.,1
Daisy Games,"London, UK",1986,"SokoSolitaire, SokoChess White, SokoChess Black, SokoChess, Sokobos",,1
SharF Co.,"Gurugram, India",1993,"Other Worlds India, The last Baron's stunt (Anime), Neon Universe, Ne Padai!",,1
Kalypso Media Group GmbH,"Seoul, South Korea",2006,"Tropico 5, Tropico 6",,1
Positech Games,"Paris, France",1981,"Gratuitous Space Battles, Big Pharma, Shadowhand: RPG Card Game, Gratuitous Space Battles 2, Democracy 4",Knowledge enter top allow.,1
Matt Makes Games,"Melbourne, Australia",2009,"Celeste, TowerFall Ascension",Employee ask surface establish.,1
Furry Dreams Lab,"San Francisco, USA",1993,"Dreams with Furry 🦊, Love with Furry 🐺, Furry Reich 🐺",,1
Gniller,"Seoul, South Korea",1992,"Increlution, Incremental Adventures",Win instead owner per lot appear against.,1
MatthewHall3D,"Berlin, Germany",1990,Hitchhiker,Raise daughter their decide born customer actually.,0
Wallace Lovecraft,"Melbourne, Australia",2018,"HOLIDAYS, Kill The Dragon, NO LOVE, Help Me",,1
Frogdice,"Kyoto, Japan",2003,"Dungeon of Elements, ReignMaker, Stash",So sit food.,1
Deep Silver,"Berlin, Germany",2009,"Metro 2033 Redux, Saints Row®: The Third™  Remastered, Gods Will Fall, PAYDAY 3, Metro Exodus",,0
Games Farm,"Gurugram, India",2011,"Air Conflicts: Pacific Carriers, Air Conflicts: Secret Wars, Kult: Heretic Kingdoms, Air Conflicts: Vietnam",,1
"1C Entertainment, 3D Realms","Warsaw, Poland",2006,GRAVEN,,1
3 Core Studio,"Warsaw, Poland",1991,Pulse Shift,,0
Big Sugar,"Amsterdam, Netherlands",1986,"Trifox, Valfaris, Sam & Max: This Time It's Virtual!, Unto The End, Unexplored 2: The Wayfarer's Legacy",,1
Trash Vomit Studios,"Stockholm, Sweden",1985,"First Odium, Crazy Brain, Victim, Happy Mask",,0
Dear Villagers,"Toronto, Canada",2005,"The Forgotten City, Naheulbeuk's Dungeon Master, Scourgebringer, Post Human W.A.R, Splasher",,1
taren546games,"Tokyo, Japan",2017,"AdvLite, Arena Chaos",,1
Salam Softwork Studio,"London, UK",2002,"Hajji Tours, Hajji VR",,1
Sekai Project,"Stockholm, Sweden",1994,"NEKO-NIN exHeart +PLUS Nachi, Root Double -Before Crime * After Days- Xtend Edition, NEKO-NIN exHeart 3, The Falconers: Moonlight, UsoNatsu ~The Summer Romance Bloomed From A Lie~",,1
Unimy Studios Ltd,"Tokyo, Japan",2005,Fast Burger Simulator,Step force view scene edge.,1
TaleWorlds Entertainment,"Boston, USA",2003,"Mount & Blade: Warband, Mount & Blade: With Fire & Sword, Mount & Blade, Mount & Blade II: Bannerlord",,1
Nevsram,"Melbourne, Australia",2016,"Golf With Your Grandmother, The Fish, The Bird, My Low Poly City",,1
Grynsoft,"Los Angeles, USA",2009,"Wings of Vi, Roah",,1
Stardock Entertainment,"San Francisco, USA",2004,"Fallen Enchantress: Legendary Heroes, Galactic Civilizations III, The Corporate Machine, Star Swarm Stress Test, Star Control®: Origins",Third whose young fund.,1
Minstrel Studio,"Toronto, Canada",1998,"法利恩戰記（Furion Chronicles）, 法利恩戰記2 (Furion Chronicles 2)",,1
Double Damage,"Amsterdam, Netherlands",1982,Rebel Galaxy Outlaw,,0
Chengdu longyuan Network Technology Co.Ltd,"Gurugram, India",2007,"Auto Chess, Anonymous ME",Student including great charge people painting entire.,1
Glowstick Entertainment,"Amsterdam, Netherlands",2006,"Dark Deception: Monsters & Mortals, Dark Deception, Farmocalypse",,1
Nomadz Games,"London, UK",1980,Astro Planes,,1
"Double Damage Games, Inc.","Warsaw, Poland",1993,Rebel Galaxy,,1
Mangotronics,"New York, USA",1983,The Mangotronics Employment Collection,First however two grow night.,1
Night School Studio,"Toronto, Canada",1987,"Afterparty, Oxenfree",,1
N-Lab.,"Toronto, Canada",1986,exp!A,,1
CozyStorm,"Gurugram, India",1983,One by One,Democratic debate else artist.,1
XD,"Berlin, Germany",2016,"ICEY, Juicy Realm, Journey of Greed, Mobile Empire, Sands of Salzaar",,1
Ghostlight LTD,"Amsterdam, Netherlands",2014,"Mugen Souls Z, Agarest: Generations of War Zero, Elminage Gothic, Flame Over, Agarest: Generations of War",,1
Blaze Epic,"London, UK",1984,"Nil-Ninjahtic: Ronin, iaidoka_interlude, An Imp? A Fiend!, Shin Samurai Jazz, FightBit",,1
Playstige Interactive,"Berlin, Germany",2004,"Platform Game Maker, Solarix, Frightence",,0
Phoenix Labs,"Toronto, Canada",2007,"Dauntless, Fae Farm",,1
Field of View CE,"Berlin, Germany",1994,Unsettled,,1
Hypothermic Games,"Shanghai, China",1992,"Banana for Scale, Edge Guardian",,1
Taylor Loxxulus Hatton,Singapore,2017,ChessLocke,Bill stand mouth point.,1
1C Entertainment,"New York, USA",2011,"IL-2 Sturmovik: Cliffs of Dover, Lantern, Fell Seal: Arbiter's Mark, Secret Government, Realpolitiks II",,1
Team17 Digital Ltd,"Amsterdam, Netherlands",2010,"Flockers™, Overruled!, Worms Crazy Golf, Worms Pinball, Overcooked",,1
Moonshot Interactive Games,"Shanghai, China",1991,Plunder Ball,,1
Double Stallion Games,"Boston, USA",2016,"Big Action Mega Fight!, Speed Brawl",,1
Storytaco,"Boston, USA",1989,"Dangerous Fellows: Otome Game, On Air Island : Survival Chat, Twisted Lovestruck",Read issue later serious well simple evening.,1
Subfrost Interactive AB,"Paris, France",1990,Cobots,,1
Tactic Studios,"Montreal, Canada",1999,Claire de Lune,,1
Squanch Games,"San Francisco, USA",1985,Trover Saves the Universe,,1
PT.farm Inc.,"Seattle, USA",2017,Throne of Lies®: Medieval Politics,,0
Destructive Creations,"Warsaw, Poland",2013,"Shame Legacy, Hatred, IS Defense, Space Raiders in Space",,1
Beam Team Publishing,"London, UK",2015,Stranded Deep,,0
Chequered Ink Ltd.,"Melbourne, Australia",1998,"GameDevDan vs Life, Plunder Dungeons, Ink Cipher, Revolver and Co, Pippu - Bauble Quest",,1
BuffGames,"Melbourne, Australia",1987,Football Bus Battle 2021,,1
etaxoft,"London, UK",1994,SLI-FI: 2D Planet Platformer,Itself customer around.,1
Wolf Studio,"Seattle, USA",2011,Juruna Game,,1
Flight School Studio,"Melbourne, Australia",1991,"Manifest 99, Creature in the Well, Island Time VR, Stonefly",,1
Pixeljam,"Seoul, South Korea",1990,"Last Horizon, Dino Run DX, Cheap Golf, Temple Of Snek, Snowball!",,1
Xendra,"Boston, USA",2006,"Malice & Greed, Spellbook Demonslayers Prologue",,1
Stratera Games,"Boston, USA",1993,"Verlet Ascend, Lighthouse Keeper, Viral Firar, Havsala: Into the Soul Palace, Meow Express",Politics message of lawyer one the.,1
Do Games Limited,"Amsterdam, Netherlands",2008,"Magic Сity Detective: Secret Desire Collector's Edition, Myth or Reality: Mystery of the Lake Collector's Edition, Royal Romances: Endless Winter Collector's Edition, Maze Of Realities: Reflection Of Light Collector's Edition, Crossroad of Worlds: Mystery Agency Collector's Edition",,1
Back To Basics Gaming,"Los Angeles, USA",1988,"SkiFy, Freebie, Drayt Empire, DAMN!, Super Mega Neo Pug",,1
Another Indie,"Montreal, Canada",2013,Original Journey,,1
red small workshop,"Gurugram, India",1986,Archer Master,,1
Cellec Games,"Melbourne, Australia",1997,"The Loneliest Artist Revamp, Moon is Not the Limit",,1
Cracked Bone Studios,"Toronto, Canada",2006,Casino Tycoon Simulator,,1
Sandstorm Gamestudio,"Amsterdam, Netherlands",1999,Vandalhalla,Significant challenge ready.,0
Grey Alien Games,"Seattle, USA",2012,"Jewel Match Solitaire Summertime, Jewel Match Solitaire Collector's Edition, Jewel Match Solitaire L'Amour, Jewel Match Winter Wonderland 2 Collector's Edition, Jewel Match Origins - Palais Imperial Collector's Edition",At knowledge Republican grow condition make.,1
Asmodee Digital,"Tokyo, Japan",2011,"Carcassonne, Carcassonne - Tiles & Tactics, Munchkin: Quacked Quest, Pathfinder Adventures, Onirim - Solitaire Card Game",,1
PUNKCAKE Delicieux,"Kyoto, Japan",1987,"Scavenger of Dunomini, The Wratch's Den, Ecstatic, Rush for the Ages, Shroomchitect",Hit price finish later.,1
Kyle Seeley,"Shanghai, China",2015,"Emily is Away Too, Emily is Away <3, Emily is Away",,1
Swinfjord-Games,"Gurugram, India",2009,XLarn,,1
Brimstone,"Tokyo, Japan",2015,"Lance A Lot: Classic Edition, BANZAI ROYALE, Lance A Lot: Enhanced Edition",,1
Kaverna Produções,"Toronto, Canada",2011,Monsters Mess,,1
Innersloth,"New York, USA",1983,"Among Us, The Henry Stickmin Collection",,1
Private Division,"San Francisco, USA",1989,"The Outer Worlds: Spacer's Choice Edition, Rollerdrome, OlliOlli World, Kerbal Space Program 2, Disintegration",,1
guilemus,"Melbourne, Australia",1996,"Idle Biceps, Idling Gears, Blacksmith Weapon Merchant, Running in the Y2K, Winnie-the-Pooh's book writing speedrunner",,1
FIVE-BN GAMES,"New York, USA",1989,"New York Mysteries: The Outbreak, Legendary Tales: Cataclysm, Darkness and Flame: The Dark Side f2p, Lost Lands: Dark Overlord, Mystic Journey: Tri Peaks Solitaire",,1
MavTech,"Montreal, Canada",1981,Breakout Planet,Car skill every score.,1
Broken Arms Games,"Warsaw, Poland",2008,"Kaboom Monsters, ATOMINE, Hundred Days - Winemaking Simulator",,1
313 Studios,"Paris, France",2010,Dodgeball,,1
个人,"London, UK",2019,"宇宙终极秘密-灵魂The ultimate secret of the universe：Soul, Neeron: The Blade of Nature, Planes Journey, GarbageClassification, 元境VR",,1
Lanzinger Studio,"Seoul, South Korea",1997,Gubble,,1
CD PROJEKT S.A.,"Shanghai, China",2019,The Witcher 3: Wild Hunt - Game of the Year Edition,,1
Pugware,"London, UK",1992,"Skautfold: Usurper, Skautfold: Into the Fray, Skautfold: Shrouded in Sanity, Skautfold: Knight's End, Skautfold: Moonless Knight",,0
Quiet River,"Warsaw, Poland",1990,"Zup! Q, Only Down, Crash Wheels, Zup! Zero, qop 4",,1
Cold-Dark Software™,"Warsaw, Poland",1995,"Beanstalk, Brick Breaker with Risa, BzzzController, Virtual Robots - Robot programming simulator, Experimental",,1
Cute Pen Games,"Stockholm, Sweden",1983,"Melancholy Date, Feet Sweeper, POORLY drawn but HORNY, BOOOOOOOOOOBS, Princess Dating Sim",Other economic arrive top fast million.,0
Heart Machine,"Warsaw, Poland",2016,Hyper Light Drifter,,1
Motion Twin,"Boston, USA",1996,Dead Cells,Food end remember likely up.,1
Red Triangle Games,"Seoul, South Korea",2015,"Axe Cop, Mr. Triangle's Maze, Mr. Triangle's Adventure, Red Triangle Super Collection, Surfasaurus",,1
Fibrum Limited,"Paris, France",1991,"Bullet Roulette VR, Space Ops VR: Reloaded, Dance Loop, Party Pumper",Can member program song remember all keep family.,1
Snapshot Games Inc.,"Gurugram, India",2015,"Phoenix Point, Chaos Reborn",,1
Slitherine Ltd.,"New York, USA",2002,"Field of Glory II: Medieval, Strategic Command Classic: Global Conflict, Revolution Under Siege Gold, Battle of the Bulge, The Operational Art of War IV",Trouble health some none to street.,1
KILLZONE,"San Francisco, USA",2006,"Monkey Rush, Zombie Lane Survival",,1
FastGame,"Seoul, South Korea",1980,"Pranky Cat, Good Boy!, Bad Cat, Game club Waka-Waka, Game Of Mafia",,1
sur,"Montreal, Canada",1999,"All Alone, Case of the mysterious death of Keiko Haraeda",,1
Silentplaygames,"Gurugram, India",2015,"Hero's Story, Wanderer of Teandria",Relationship yard nothing physical religious stop law.,1
