Developer,Active,City,Country,Est.,"Notable games, series or franchises",Notes
一只零零发工作室,1,Paris,France,1985-05-18 00:00:00,Backstab,
Twice Circled,1,Toronto,Canada,1982-06-10 00:00:00,"Megaquarium, Big Pharma",
Mecha Studios,1,Los Angeles,United States,1983-07-27 00:00:00,"Neon City Riders: Super-powered Edition, Neon City Riders",
A44,0,Toronto,Canada,1994-02-25 00:00:00,Ashen,Entire fish we attorney action personal.
Sweety Cute Studio,1,Toronto,Canada,1988-08-14 00:00:00,"Kawaii Girls, My Lovely Noblewomen, Food and Girls, Cars and Girls, Games and Girls",Partner course project sort remember morning.
Remote Alchemy Studios,1,Warsaw,Poland,2015-08-06 00:00:00,Moonphase Pass,
The N Main Shop,1,Stockholm,Sweden,1990-02-03 00:00:00,"Youmu Konpaku & Dungeon of Lewd Creatures, Touhou Shoujo Tale of Beautiful Memories / 東方少女綺想譚",
5 Lives Studios,1,Boston,United States,2004-07-28 00:00:00,"Satellite Reign, Windbound",Prove city good whatever.
Mad About Pandas,1,Tokyo,Japan,1979-11-27 00:00:00,Hitchhiker - A Mystery Game,Major idea minute add rather team smile add.
Organic Apps,1,Boston,United States,1991-09-17 00:00:00,Hope's Journey: A Therapeutic Experience,
Glenn Verheij,1,Austin,United States,1999-06-14 00:00:00,"Gum Ball Run, Eggy",
William Chyr Studio,1,Boston,United States,1988-04-15 00:00:00,Manifold Garden,Have dog through Mr.
ClockStone Software,1,Paris,France,2018-04-21 00:00:00,Bridge Constructor: The Walking Dead,
ImpressVR Studios,1,London,United Kingdom,1987-02-05 00:00:00,VaporFly,Body international control action.
Dead Bug,1,Paris,France,1976-06-23 00:00:00,Mother Stone,Difference reach imagine better we.
Arzola's,1,Singapore,Singapore,1975-06-23 00:00:00,"KNIGHTS, PEG",Particularly natural need carry doctor.
4gency,1,Amsterdam,Netherlands,2014-12-28 00:00:00,Habitat,Area total tell.
Laush Dmitriy Sergeevich,1,London,United Kingdom,1992-05-04 00:00:00,"Easy puzzle: Animals 2, Easy puzzle: Landscape, SEARCH ALL - CANDY, Disco Ball, Penguin Climbing",
VR Designs,1,Stockholm,Sweden,1978-04-22 00:00:00,"Advanced Tactics Gold, Decisive Campaigns: Case Blue, Decisive Campaigns: Barbarossa, Decisive Campaigns: The Blitzkrieg from Warsaw to Paris, Decisive Campaigns: Ardennes Offensive",Support than baby member consumer cut simply.
DAX Entertainment,1,Stockholm,Sweden,2016-08-23 00:00:00,"You Can(Not) Survive, Utopia",
Resonair,1,Berlin,Germany,1996-09-17 00:00:00,LUMINES REMASTERED,
Naie.Sorachi,1,Stockholm,Sweden,2010-10-09 00:00:00,"RifleRange, Venandi In Silva",
Isaac Andrews,1,Helsinki,Finland,1999-06-24 00:00:00,"Duline, Magnet Block, TANKBOX",
Studio Pieplus,1,Melbourne,Australia,2013-06-08 00:00:00,"Beyond Eden: Dear Edward, Beyond Eden",
CITY CONNECTION,1,Toronto,Canada,2006-03-08 00:00:00,"Cleopatra Fortune™ S-Tribute, 暴れん坊天狗 & ZOMBIE NATION, Layer Section™ & Galactic Attack™ S-Tribute, BATSUGUN Saturn Tribute Boosted, Elevator Action™ -Returns- S-Tribute",
HeroCraft PC,0,Berlin,Germany,1984-08-25 00:00:00,"Warhammer 40,000: Space Wolf, Revival: Recolonization, Gravewood High",
Aleksandre Glonti,1,San Francisco,United States,1979-12-17 00:00:00,Cuana,
Reikon Games,1,Amsterdam,Netherlands,1988-07-03 00:00:00,RUINER,Issue create actually buy statement.
Alkemi,1,Tokyo,Japan,2007-04-01 00:00:00,"Drifting Lands, Foretales, An Ankou",Worker food during policy response sell.
"Nicalis, Inc.",1,Austin,United States,1989-06-15 00:00:00,"1001 Spikes, Crystal Crisis, NightSky, Cave Story's Secret Santa",
10101 Software,1,Melbourne,Australia,2012-07-10 00:00:00,"iFactor, Trends, Forgotten Souls",
Ubisoft Mainz,0,Berlin,Germany,2001-11-24 00:00:00,"Anno 1404 - History Edition, Anno 1800 Standard Edition",
StuffByRabassa.com,1,London,United Kingdom,2011-02-25 00:00:00,Seventh Angel,
Driven Arts,1,Seattle,United States,1991-06-14 00:00:00,"Days of War Map Editor, Days of War: Definitive Edition",Sport as career policy study.
RuneStorm,1,Montreal,Canada,2002-06-17 00:00:00,"Viscera Cleanup Detail, Viscera Cleanup Detail: Santa's Rampage, Rooks Keep, Viscera Cleanup Detail: Shadow Warrior",
SnowBaby Games,1,Toronto,Canada,1983-09-05 00:00:00,"My Island, Eden Island, Fireworks Simulator: Realistic",Others character energy include level leave.
Quantum Quiver Games,0,Toronto,Canada,2000-09-11 00:00:00,"Neon Fantasy: Boys, Neon Fantasy: Furries, Neon Fantasy: Cats, Color Splash: Dogs, Neon Fantasy: Animals",
Stroboskop,1,Montreal,Canada,1995-06-25 00:00:00,"Sylvio, Brutalism, Sylvio 2",
Spry Fox,0,Austin,United States,2018-10-07 00:00:00,Cozy Grove,
Runic Games,1,San Francisco,United States,2009-10-27 00:00:00,"Torchlight, Hob, Torchlight II",
Utopia Dream Entertainment Alliance (Pty) Ltd - South Africa,1,Helsinki,Finland,1981-05-14 00:00:00,Destiny of Ancient Kingdoms™,
Fair Games Studio,1,San Francisco,United States,2011-02-23 00:00:00,"Protocol, Startup Valley Adventure, Protocol VR, Aliens In The Yard, Loco Parentis VR",Doctor born firm ability.
octopus-studio,1,Vancouver,Canada,2007-08-08 00:00:00,BomberGuys,
Team Alto,1,Kyoto,Japan,2002-10-27 00:00:00,The Alto Collection,Herself after hot wait.
GoldKnights,1,Montreal,Canada,1993-08-24 00:00:00,The Last Oricru,
Digital Sun Games,1,Boston,United States,1980-06-10 00:00:00,Moonlighter,
"Terrible Posture Games, Inc.",0,Boston,United States,2004-07-25 00:00:00,"3 out of 10, EP 3: Pivot Like A Champion, 3 out of 10, EP 2: Foundation 101, 3 out of 10, EP 1: Welcome To Shovelworks, 3 out of 10: Season Two, 3 out of 10, EP 5: The Rig Is Up!",
Breaker Games,1,Melbourne,Australia,1979-09-19 00:00:00,Apocalypse Party,
Arrayansoft,1,Stockholm,Sweden,1978-07-08 00:00:00,Chishiki Runner,
Domynyo SRL,1,Paris,France,1994-02-20 00:00:00,To The Sky,
Yumenamakon,1,Singapore,Singapore,1992-07-24 00:00:00,"Marle: The Labyrinth of the Black Sea, Lisa and the Grimoire",
Torn Banner Studios,1,Los Angeles,United States,1986-10-26 00:00:00,"Chivalry: Medieval Warfare, NeverMine, Chivalry 2",Pattern learn range power.
Ground Shatter,1,London,United Kingdom,2015-10-15 00:00:00,"RICO, Fights in Tight Spaces (Prologue), RICO: London, Fights in Tight Spaces, SkyScrappers",
Afufu Games,1,Paris,France,1989-07-29 00:00:00,What's your emergency,
Flying Carpets Games,1,Berlin,Germany,2016-08-17 00:00:00,The Girl and the Robot,Coach sound real among.
OutOfTheBit Ltd,1,Los Angeles,United States,2005-12-23 00:00:00,"Full Void, Super Arcade Racing, Wild Baffo, Super Arcade Football",
Expansive Worlds,1,Stockholm,Sweden,2017-02-16 00:00:00,"Call of the Wild: The Angler™, theHunter: Call of the Wild™",
Leikir Studio,1,Singapore,Singapore,2012-04-18 00:00:00,"Rogue Lords, Wondershot, Isbarah",
Silver Lining Studio,1,Seattle,United States,2020-04-30 00:00:00,Behind the Frame: The Finest Scenery,
11 bit studios,1,Singapore,Singapore,1979-06-05 00:00:00,"Anomaly Defenders, Anomaly Korea, Anomaly Warzone Earth Mobile Campaign, Anomaly: Warzone Earth, This War of Mine",
The Moon Pirates,1,Seattle,United States,2005-09-26 00:00:00,"Don't Shit On My #!$@& Roof, Don't Forget Me, Crypto Is Dead",
DICE,0,San Francisco,United States,1977-08-03 00:00:00,"Battlefield™ Hardline, Battlefield 4™, Mirror's Edge™ Catalyst, Battlefield: Bad Company 2 Vietnam, Battlefield™ 2042",
Suspicious Developments,1,Berlin,Germany,1993-05-11 00:00:00,"Gunpoint, Heat Signature, Morphblade, Floating Point",
Cellar Door Games,0,Austin,United States,1985-07-23 00:00:00,"Rogue Legacy, Rogue Legacy 2, Full Metal Furies",
Fast Travel Games,1,Paris,France,2014-10-28 00:00:00,"Apex Construct, Wraith: The Oblivion - Afterlife, The Curious Tale of the Stolen Pets",
Interama - Interactive Technology,1,Paris,France,2010-11-12 00:00:00,Fairies vs. Darklings: Arcane Edition,Yes where base pressure draw generation agency.
RPG Video,1,Boston,United States,2007-10-22 00:00:00,"Final Quest, Drayt Empire, Final Quest II, The Land of Dasthir, Warriors of Vilvatikta",
7th Beat Games,1,Melbourne,Australia,1999-04-19 00:00:00,"A Dance of Fire and Ice, Rhythm Doctor",
Fireart Games,1,Montreal,Canada,2010-04-23 00:00:00,"Spirit Roots, TOHU",Walk low tax writer he our.
Apar Games,1,Singapore,Singapore,1987-04-02 00:00:00,"Scribbled Arena, Secret Of The Royal Throne",
Dora Games,1,Helsinki,Finland,1991-06-23 00:00:00,"Ghost Bus Simulator, Moto Offroad Simulator, Two Skateboards Driving Simulator, Zombies in Metropolis, Fix My Hand Doc",
TimeGate Studios,0,Paris,France,1982-05-13 00:00:00,"Kohan: Immortal Sovereigns, Kohan II: Kings of War, Section 8®: Prejudice™, Kohan: Ahriman's Gift",
KeokeN Interactive,1,San Francisco,United States,2008-06-19 00:00:00,"Deliver Us The Moon, Deliver Us Mars",
Pixelian Studio,1,Melbourne,Australia,1976-05-29 00:00:00,Critadel,
Boogygames Studios,1,Los Angeles,United States,1979-06-20 00:00:00,"Golden Leaf Jigsaw Puzzles, Puzzle for Kids, Idle Dragon Clicker, Monster Battle Quest, Anime - Match The Memory",
Stratera Games,1,Singapore,Singapore,2004-12-10 00:00:00,"Viral Firar, Havsala: Into the Soul Palace, Meow Express, Cardboard Town, Lighthouse Keeper",
"Deep Silver Volition, Sperasoft",1,Tokyo,Japan,2006-08-02 00:00:00,Saints Row®: The Third™  Remastered,
Randumb Studios,0,Paris,France,1992-11-14 00:00:00,"The Test: Hypothesis Rising, The Twins, Gobby McGobblenutz Presents: The Art of the Dad Joke: Chapter 1, The Test: Secrets of the Soul 2, Gobby McGobblenutz Presents - The Questionably Quirky Quiz Show",
GoodbyeWorld Games,1,Melbourne,Australia,2012-02-28 00:00:00,Before Your Eyes,
Cellec Games,1,Amsterdam,Netherlands,2004-03-02 00:00:00,"The Loneliest Artist Revamp, Moon is Not the Limit, Turtle Racer",
Soju and Ink,1,Melbourne,Australia,2019-06-20 00:00:00,"Lil Baby Poop's NIGHTMARES, Spiders Everywhere",
Parley Games,1,Seoul,South Korea,1996-02-24 00:00:00,SOULBOUND,
Cold-Dark Software™,1,Montreal,Canada,1997-01-08 00:00:00,"Virtual Robots - Robot programming simulator, Experimental, Beanstalk, BzzzController, Brick Breaker with Risa",Seem wide create.
Abrakam,1,Boston,United States,1980-02-07 00:00:00,Faeria,
Cryodragon,1,Paris,France,2003-04-12 00:00:00,Brick Blaster,Ground fear serious couple to every cost.
Route 24,1,Seattle,United States,1999-09-16 00:00:00,Pixel Game Maker Series Puzzle Pedestrians,
Ubisoft Annecy,1,Boston,United States,2018-06-24 00:00:00,Riders Republic,
Alex VR,1,Seoul,South Korea,1998-11-16 00:00:00,"Portable VR, Button VR, Button VR Expeditions, Electric Enigma VR",Wife win collection grow pick against.
Bedtime Digital Games,1,Stockholm,Sweden,1987-12-14 00:00:00,"Back to Bed, Figment, Chronology, Figment 2: Creed Valley - Prologue, Figment 2: Creed Valley",Staff parent forget industry kid property.
Santa Ragione,1,Singapore,Singapore,1992-08-31 00:00:00,"MirrorMoon EP, Wheels of Aurelia, FOTONICA, Saturnalia",
SQUARE ENIX,1,Tokyo,Japan,1986-10-27 00:00:00,"SEASON OF MYSTERY: The Cherry Blossom Murders, KINGDOM HEARTS Melody of Memory",
Art in Heart,1,Seattle,United States,1979-07-08 00:00:00,"GoNNER, GONNER2",
OriOpa Studio,1,Austin,United States,1992-02-03 00:00:00,Sudokolorful,
hwg独立游戏,1,San Francisco,United States,1991-10-17 00:00:00,Super Kenney,
TipsWorks,1,Seoul,South Korea,1983-10-20 00:00:00,Pascal's Wager: Definitive Edition,
Dekada,1,Paris,France,1995-03-12 00:00:00,"Heaven Keepers, Tiny Hill",Total type game rock speak provide.
Steph,1,Helsinki,Finland,1993-08-07 00:00:00,Kim Shooter,
AOne Games,1,Singapore,Singapore,1996-10-26 00:00:00,"Omen Of Sorrow, Omen of Sorrow",
Motive Studios,1,Tokyo,Japan,1998-02-21 00:00:00,STAR WARS™: Squadrons,
Lewis Haynes,1,Boston,United States,2012-05-25 00:00:00,Korlax Escape!,
Afterthought Studios,1,Kyoto,Japan,1997-08-12 00:00:00,"The Merchant Memoirs, You, With Me - A Kinetic Novel, When Our Journey Ends - A Visual Novel, A More Beautiful World - A Kinetic Visual Novel, On Earth As It Is In Heaven - A Kinetic Novel",Go along company remain.
Tin Man Games,1,Tokyo,Japan,2009-10-14 00:00:00,"Curse of the Assassin, Choices That Matter: And The Sun Went Out, The Warlock of Firetop Mountain, To Be or Not To Be, Fighting Fantasy Classics",
Arthavan Studio,1,Los Angeles,United States,1990-09-19 00:00:00,BadBee,
"Hollow Ponds, Richard Hogg",0,Austin,United States,2020-08-06 15:00:00,Wilmot's Warehouse,
Glumberland,1,Kyoto,Japan,1982-02-01 00:00:00,Ooblets,
Skeleton Crew Studio,1,San Francisco,United States,1979-11-17 00:00:00,Olija,
Rémi Adriano,1,Helsinki,Finland,2005-10-30 00:00:00,"Astria, Sharing Lights",
Jason Roberts,0,Toronto,Canada,1988-02-16 00:00:00,Gorogoa,
Infinite Fall,1,Paris,France,2017-02-21 00:00:00,Night in the Woods,
Turning Wheel LLC,1,Austin,United States,2015-06-23 00:00:00,Barony,
Jason Hein,1,Warsaw,Poland,2013-01-27 00:00:00,Spectrum Break,Whole approach picture thing pressure life far.
Righteous Hammer Games,1,Montreal,Canada,2004-12-08 00:00:00,"ZOR: Pilgrimage of the Slorfs, Solitairica",Drop fall technology law.
Sprouting Potato,1,London,United Kingdom,2011-11-11 00:00:00,"Dice Tribes: Ambitions, Crop Rotation",
TiGames,1,Seoul,South Korea,1997-11-24 00:00:00,F.I.S.T.: Forged In Shadow Torch,
Santa Ragione srl,1,Stockholm,Sweden,1979-02-23 00:00:00,Wheels of Aurelia,
Fire Hose Games,1,London,United Kingdom,1983-12-25 00:00:00,"Go Home Dinosaurs!, Slam Bolt Scrappers, Techtonica",
Giants Software GmbH,1,Toronto,Canada,2020-07-20 16:00:00,Farming Simulator 19,
Borealys Games,1,Toronto,Canada,2011-12-15 00:00:00,Mages of Mystralia,
VARSAV Game Studios S.A,1,Austin,United States,1976-11-20 00:00:00,Bee Simulator,
Highlight Visual Effects Development,0,Vancouver,Canada,2019-04-15 00:00:00,Roach Killer,
MB aka FRANK,1,Vancouver,Canada,2016-05-18 00:00:00,The Good Book VN,
Kimi Karri,1,Seattle,United States,1992-04-10 00:00:00,"Frogs also struggle, Noitapeli, PlatBall, Grind: Skateboarding, Property",
Alternative Software Ltd,1,Los Angeles,United States,1989-01-26 00:00:00,"Rugby League Team Manager 3, Wildlife Creative Studio, Rugby Union Team Manager 2015, Boxing Club Manager, MMA Team Manager",
Beam Team Games,1,Amsterdam,Netherlands,2015-01-23 00:00:00,Stranded Deep,
Klei Entertainment,1,Austin,United States,2010-10-25 00:00:00,"Don't Starve Together, Hot Lava, Shank 2, Shank, Don't Starve",
Jackbox Games,1,Tokyo,Japan,1999-01-19 00:00:00,"The Jackbox Party Pack 2, The Jackbox Party Pack 4, The Jackbox Party Pack 5, Jackbox Party Pack 3, Drawful 2",Spend range glass beat.
U-ROOM,1,Kyoto,Japan,1980-05-01 00:00:00,"Dark Hero Party, Pray Game",
Systemic Reaction™,1,Vancouver,Canada,1991-06-18 00:00:00,"Second Extinction™, Generation Zero®, Ravenbound",
Eugen Systems,1,Stockholm,Sweden,2004-09-23 00:00:00,"Wargame: Airland Battle, Act of Aggression - Reboot Edition, WARNO, Act of War: High Treason, Wargame: Red Dragon",
Square Enix,1,Vancouver,Canada,1981-07-18 00:00:00,"FINAL FANTASY IX, FINAL FANTASY V, FINAL FANTASY XIV Online, FINAL FANTASY® XIII-2, FINAL FANTASY IV: THE AFTER YEARS",Ability learn anyone run view cause.
Ubisoft Montreal,1,Toronto,Canada,1993-03-26 00:00:00,"Tom Clancy's Rainbow Six® Vegas, Assassin's Creed Origins Standard Edition, Assassin's Creed Freedom Cry, Watch Dogs 2 Standard Edition, Assassin's Creed® Origins",
Paradox Development Studio,1,Toronto,Canada,1984-12-13 00:00:00,"Crusader Kings Complete, Europa Universalis III Complete, Europa Universalis III: Divine Wind, March of the Eagles, Hearts of Iron IV",
Asobo Studio,1,Kyoto,Japan,2000-03-23 00:00:00,"Microsoft Flight Simulator Game of the Year Edition, RUSH: A Disney • PIXAR Adventure, Disney•Pixar WALL-E, A Plague Tale: Innocence, A Plague Tale: Requiem",
Missing Sentinel Software,0,San Francisco,United States,1988-07-01 00:00:00,"Yoko Redux: Dreams of a Blue Planet, RogueCraft Squadron",
Bloom Digital Media,1,Montreal,Canada,2017-12-06 00:00:00,"LongStory, Ye Olde Cribbage Club, Later Daters - Premium",
"Ubisoft Paris,Red Storm Entertainment",1,San Francisco,United States,2001-02-26 00:00:00,"Tom Clancy's Ghost Recon: Future Soldier™, Ghost Recon Future Solider: Ultimate Edition",
Mighty Yell,1,Kyoto,Japan,1988-08-19 00:00:00,"The Big Con, A Knight in the Attic",
Chashu Entertainment,1,Tokyo,Japan,1980-05-12 00:00:00,"Sands of Aura, Deputy Dangle",
azimuth team,1,Amsterdam,Netherlands,1976-02-12 00:00:00,"Archibald, PIXEL DRIFT, Dungeons of the dead, Delivery man simulator, CryptoMoneya",
"Mirari&Co.pty,ltd.",1,London,United Kingdom,2009-01-22 00:00:00,Dark Light,
Purple Lamp Studios,1,Stockholm,Sweden,1976-07-26 00:00:00,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,
Blaze Epic,1,Paris,France,1982-07-31 00:00:00,"Hikikomori No Chuunibyou, Nil-Ninjahtic: Ronin, The Way of the Pixelated Fist, iaidoka_interlude, Complex Complex",
TITANIUM ARMOR,1,Warsaw,Poland,2022-02-01 00:00:00,"MELONS MILKSHAKE: LEWD SOUL, MILK ME DARLING: TITS FAIRY, MEDIEVAL WARRIOR SIMULATOR, OPPAI RENDER, TITS OKAY TITS FINE: LEWD ME DARLING",
LKA,1,Vancouver,Canada,2010-11-04 00:00:00,"Martha Is Dead, The Town of Light",
Overflow,0,Montreal,Canada,1985-09-01 00:00:00,"Star Shelter, Abode 2, Madshot, Cornerstone: The Song of Tyrim, Abode",Century these able approach.
OikariBuncho,1,Paris,France,1996-03-15 00:00:00,"Item synthesis and dungeon exploration, The Farmer's Story of Slow Life",
Offworld Industries,1,Paris,France,1978-07-16 00:00:00,"Squad, Starship Troopers: Extermination, Squad Editor, Covert Syndrome",Magazine condition compare camera whether five artist.
Swinfjord-Games,1,Seattle,United States,1979-04-30 00:00:00,XLarn,Cold theory image able lot strong happy.
Artists Entertainment,1,London,United Kingdom,2003-07-02 00:00:00,Archeo: Shinar,
DiamosDev,1,Vancouver,Canada,2021-02-04 00:00:00,"Freelancer Life Simulator: Prologue, Idle Trading Simulator, Freelancer Life Simulator, Gamer Shop Simulator, Bicycle Rider Simulator",Rise year just war maybe.
Hambug Games,1,Melbourne,Australia,1985-07-11 00:00:00,"Lost Awakening, Cursor Engine",
"The Quantum Astrophysicists Guild, Ty Taylor,Mario Castañeda",1,Boston,United States,1998-01-22 00:00:00,The Bridge,
Radiangames,1,Helsinki,Finland,1997-11-10 00:00:00,"Devastator, Instruments of Destruction, Inferno 2",
"MidBoss, LLC",1,Tokyo,Japan,1981-03-02 00:00:00,2064: Read Only Memories,
Helen Giantess,1,London,United Kingdom,1991-11-20 00:00:00,Helen Giantess,
Artem W,1,Warsaw,Poland,1977-03-20 00:00:00,ITERRIA ZONE,College part different focus picture go huge easy.
Terri Vellmann & Doseone,1,Vancouver,Canada,1990-08-23 00:00:00,SLUDGE LIFE,
Star Chess Studio,1,Berlin,Germany,1978-01-10 00:00:00,"The Leviathan's Fantasy, The Immortal Mayor",
Iceflake Studios Oy,0,Boston,United States,2019-02-05 00:00:00,Surviving the Aftermath,
Metthink,1,Los Angeles,United States,2010-07-11 00:00:00,"Heroes of Time, Ettrian - The Elf Prince, Heroes of Time 2 - Aizack's Return, Tales of Agaris",
Gniller,1,Seattle,United States,2020-08-11 00:00:00,"Increlution, Incremental Adventures",
MonteBearo,1,Vancouver,Canada,2001-01-07 00:00:00,Banners of Ruin,
DIRIGO GAMES,1,London,United Kingdom,1987-03-21 00:00:00,KINGDOM of the DEAD,
10ft Games,1,Tokyo,Japan,2001-06-28 00:00:00,The Red Front,Guess more strong.
Evan Lowery,1,Tokyo,Japan,1979-02-04 00:00:00,Night Rogue,Bad add spring build follow off try.
RedRuins Softworks,1,Seattle,United States,2021-02-25 00:00:00,Breathedge,
COGNOSPHERE PTE. LTD.,1,Boston,United States,2022-01-26 00:00:00,N0va Desktop,
Tsukuyomi,1,Amsterdam,Netherlands,2015-03-05 00:00:00,D-World Gate,
"Dim Bulb Games,Serenity Forge",1,Toronto,Canada,1995-01-30 00:00:00,"Where The Water Tastes Like Wine, Where the Water Tastes Like Wine, Where The Water Tastes Like Wine: Fireside Chats",
"Polytron Corporation, Inc",1,London,United Kingdom,2007-05-30 00:00:00,Fez,
Sumo Digital,1,London,United Kingdom,2006-02-25 00:00:00,"Team Sonic Racing™, Sonic & SEGA All-Stars Racing, The Texas Chain Saw Massacre, Snake Pass, Hood: Outlaws & Legends",
Moon Moose,1,Boston,United States,2021-03-18 00:00:00,Cartel Tycoon,Environment collection or difference surface fund.
Saber Interactive,1,Melbourne,Australia,2009-07-23 00:00:00,"WWE 2K BATTLEGROUNDS, MX Nitro: Unleashed, MudRunner, SnowRunner, NBA 2K Playgrounds 2",
Ubisoft San Francisco,1,Seoul,South Korea,2017-10-16 00:00:00,South Park™: The Fractured But Whole™,
Daedalic Entertainment,1,Melbourne,Australia,2008-09-17 00:00:00,"Chaos on Deponia, Fire: Ungh’s Quest, The Dark Eye: Memoria, The Dark Eye: Chains of Satinav, Anna's Quest",
Salam Softwork Studio,1,London,United Kingdom,2014-11-15 00:00:00,"Hajji VR, Hajji Tours",
Qwiboo Ltd,1,Singapore,Singapore,2014-01-06 00:00:00,Beyond Gravity,Finish produce bed budget chance exactly happy.
Lone Axe Games,1,Seoul,South Korea,1986-11-23 00:00:00,Stalked,Nothing around service happen.
Somer Games,1,Boston,United States,1992-05-29 00:00:00,"Detective Solitaire Inspector Magic and the Man Without Face, Restaurant Solitaire Delicious Lunch, Mystery Solitaire. Dreamcatcher 3, Fairytale Solitaire: Red Riding Hood, True Detective Solitaire 2",
Virtual Basement LLC,1,Amsterdam,Netherlands,1982-12-12 00:00:00,Outlaws of the Old West,
Melon Games,1,Seattle,United States,2010-06-04 00:00:00,"The Empress Of Mahjong, Mystery Solitaire. Grimm's Tales 5, Rising Sun Mahjong, Mystery Solitaire. Cthulhu Mythos 2, Detective Solitaire. Butler Story 2",
Fatih Mert,1,London,United Kingdom,2001-11-23 00:00:00,"PIGBLUE, The Leak, Keywords of A Life, Eyes of The Mirror",
Reuben Moorhouse,1,Kyoto,Japan,2014-11-20 00:00:00,Duped,Thank go true loss half prevent.
D'Avekki Studios Ltd,1,Singapore,Singapore,2007-10-28 00:00:00,"Dark Nights with Poe and Munro, The Infectious Madness of Doctor Dekker, Murderous Muses",Discover future mother.
Team17,1,Seattle,United States,2000-09-18 00:00:00,"The Survivalists, Worms Rumble, Worms W.M.D",
Heart Machine,1,Austin,United States,1993-02-02 00:00:00,"Hyper Light Drifter, Solar Ash",Recognize check strategy box prepare.
Tomato Fantasy Games,1,Melbourne,Australia,1992-02-18 00:00:00,"Dynopunk, Dynopunk: Welcome to Synth-City",
flashdim,1,Warsaw,Poland,1991-11-06 00:00:00,Kin's Chronicle (Development Halted),
Unicube,1,London,United Kingdom,2007-07-31 00:00:00,"Sheltered 2, Sheltered",
Dumb ****ing Horse,1,Warsaw,Poland,2002-01-03 00:00:00,NEAR DEADline,
SEEP,1,Warsaw,Poland,2012-02-16 00:00:00,"Biomech Hell, Dragon Climax, Cosmos: Stella Returns, Super BOO Quest, Thunderflash",
Areo Gaming,1,Helsinki,Finland,1981-09-06 00:00:00,GunFleet,
Midwinter Entertainment,1,Austin,United States,1987-01-19 00:00:00,Scavengers,
TaleWorlds Entertainment,1,Vancouver,Canada,1975-06-15 00:00:00,"Mount & Blade: With Fire & Sword, Mount & Blade II: Bannerlord, Mount & Blade: Warband, Mount & Blade",
Phr00t's Software,0,Vancouver,Canada,1985-10-25 00:00:00,"FPS Infinite, Superbot Arena, 3079 -- Block Action RPG, Frantic Freighter, 5089: The Action RPG",
Dynamic Pixels,1,Helsinki,Finland,1993-12-07 00:00:00,"Hello Neighbor Alpha 4, Hello Neighbor Alpha 1, Hello Neighbor Pre-Alpha, Hello Neighbor Alpha 3, Hello Neighbor Alpha 2",
HIROKO IMAKI,1,Boston,United States,2011-05-11 00:00:00,"像素女友, 像素男友 语音完整版, DOTOKOI / 像素男友",
PUNKCAKE Delicieux,1,Singapore,Singapore,2021-01-21 00:00:00,"MOONPONG: Tales of Epic Lunacy, Damocles Gaze, Shroomchitect, Rush for the Ages, Furious Farm: Total Reap-Out",
Three Fields Entertainment,1,Toronto,Canada,2015-12-12 00:00:00,"Dangerous Driving, Dangerous Golf, Danger Zone 2, Danger Zone, Lethal VR",
Double Fine Productions,1,Stockholm,Sweden,1993-05-20 00:00:00,"Spacebase DF-9, Psychonauts 2, Hack 'n' Slash, RAD, Costume Quest",
Simplicity Games,0,Singapore,Singapore,2019-05-21 00:00:00,"Brain Show, Volleyball Challenge",Audience resource toward I federal house lead.
Gamesforgames,0,Seoul,South Korea,1981-05-30 00:00:00,"DOLPHIN HUSTLE, CandySweet, helicopter 2.0, CowboysShowdown, Unusual Ghost",
Xendra,1,Boston,United States,2006-07-16 00:00:00,"Malice & Greed, Spellbook Demonslayers, Spellbook Demonslayers Prologue",
FastGame,1,Berlin,Germany,1986-10-10 00:00:00,Good Boy!,Determine cultural view rise nor morning.
Vae Victis Games,1,Paris,France,2009-01-26 00:00:00,Victory: The Age of Racing,Sea you shoulder inside.
Allegorithmic,1,Melbourne,Australia,1988-03-19 00:00:00,"Substance Painter 2018, Substance Painter 2019, Substance Designer 2018, Substance Designer 2019",
Gwen Frey,1,Seoul,South Korea,2014-05-10 00:00:00,Kine,
Dimps Corporation,1,Stockholm,Sweden,2002-03-07 00:00:00,DRAGON BALL: THE BREAKERS,
Wallace Lovecraft,1,Montreal,Canada,2019-11-25 00:00:00,"Help Me, NO LOVE, Kill The Dragon, HOLIDAYS",
Sokpop Collective,1,Kyoto,Japan,2010-03-07 00:00:00,"Bombini, Oh Crab!, visser, Botanik, Ollie & Bollie: Outdoor Estate",
Anabasis & Co.,1,Vancouver,Canada,2010-12-02 00:00:00,The Obscura Experiment,
Sakis25 Games,1,San Francisco,United States,2017-11-25 00:00:00,Harvest Simulator VR,
thatgamecompany,1,London,United Kingdom,2015-01-09 00:00:00,"Journey, Flower",Think little reality reveal manage who purpose office.
Company Not Found,1,London,United Kingdom,1984-10-31 00:00:00,"Tower Numbers, Angle Soccer, Tower Words, Gra&Vity",Do each could nothing picture.
OMSTUDIO,1,Seattle,United States,1982-10-15 00:00:00,Dr Iwan: Evolution,
Kitfox Games,1,Berlin,Germany,2002-07-02 00:00:00,"Moon Hunters, Lucifer Within Us, Shattered Planet, Boyfriend Dungeon",
Ovosonico,0,Paris,France,2003-10-18 00:00:00,Last Day of June,
